assist people in contaminated areas;industrial firefighter
supervise biofilter systems;aquaculture recirculation manager
operate veneer slicer;veneer slicer operator
manage habitats;ecologist
develop data processing applications;data scientist
maintain statutory books;administrative assistant
integrate principles of training;personal trainer
integrate principles of training;sport therapist
psychological counselling methods;psychologist
psychological counselling methods;educational psychologist
psychological counselling methods;chaplain
psychological counselling methods;behavioural scientist
psychological counselling methods;health psychologist
monitor vehicle repairs;vehicle maintenance supervisor
asbestos removal regulations;asbestos abatement worker
coordinate road haulage operations;road operations manager
use tools for castings repair;rubber goods assembler
use tools for castings repair;casting machine operator
aquatic species;aquaculture biologist
aquatic species;aquatic animal health professional
upsell products;bartender
upsell products;barista
upsell products;sommelier
upsell products;cabin crew manager
upsell products;head sommelier
upsell products;quick service restaurant crew member
upsell products;tour operator representative
upsell products;travel consultant
upsell products;cocktail bartender
upsell products;ticket issuing clerk
upsell products;quick service restaurant team leader
upsell products;flight attendant
upsell products;hawker
upsell products;ticket sales agent
upsell products;travel agent
relate empathetically;rehabilitation support worker
relate empathetically;child welfare worker
relate empathetically;mental health social worker
relate empathetically;community development social worker
relate empathetically;social pedagogue
relate empathetically;family social worker
relate empathetically;adult community care worker
relate empathetically;homelessness worker
relate empathetically;family support worker
relate empathetically;enterprise development worker
relate empathetically;education welfare officer
relate empathetically;rescue centre manager
relate empathetically;public housing manager
relate empathetically;social work practice educator
relate empathetically;criminal justice social worker
relate empathetically;bereavement counsellor
relate empathetically;palliative care social worker
relate empathetically;child day care centre manager
relate empathetically;substance misuse worker
relate empathetically;companion
relate empathetically;social care worker
relate empathetically;social work lecturer
relate empathetically;community care case worker
relate empathetically;elderly home manager
relate empathetically;community health worker
relate empathetically;victim support officer
relate empathetically;residential childcare worker
relate empathetically;social work supervisor
relate empathetically;care at home worker
relate empathetically;crisis helpline operator
relate empathetically;housing support worker
relate empathetically;youth centre manager
relate empathetically;social worker
relate empathetically;social work researcher
relate empathetically;community social worker
relate empathetically;crisis situation social worker
relate empathetically;child day care worker
relate empathetically;social work assistant
relate empathetically;marriage counsellor
relate empathetically;consultant social worker
relate empathetically;youth offending team worker
relate empathetically;social services manager
relate empathetically;social counsellor
relate empathetically;migrant social worker
relate empathetically;military welfare worker
relate empathetically;youth worker
relate empathetically;disability support worker
relate empathetically;sexual violence counsellor
relate empathetically;employment support worker
relate empathetically;residential home young people care worker
relate empathetically;mental health support worker
relate empathetically;hospital social worker
relate empathetically;child care social worker
relate empathetically;drug and alcohol addiction counsellor
relate empathetically;residential home older adult care worker
relate empathetically;residential home adult care worker
relate empathetically;foster care support worker
relate empathetically;residential care home worker
relate empathetically;benefits advice worker
relate empathetically;family planning counsellor
relate empathetically;gerontology social worker
relate empathetically;clinical social worker
electrical discharge;street lighting electrician
electrical discharge;spark erosion machine operator
electrical discharge;electronics production supervisor
electrical discharge;electrical engineering technician
electrical discharge;wire harness assembler
electrical discharge;electrical equipment production supervisor
electrical discharge;computer hardware test technician
electrical discharge;power lines supervisor
electrical discharge;wind energy engineer
electrical discharge;battery assembler
electrical discharge;cable jointer
electrical discharge;power distribution engineer
electrical discharge;electrical equipment assembler
electrical discharge;battery test technician
electrical discharge;substation engineer
electrical discharge;electrical equipment inspector
electrical discharge;overhead line worker
electrical discharge;electricity distribution worker
manage camelbacks;tyre builder
adjust scraper bars;foam rubber mixer
contain fires;industrial firefighter
analyse ergonomics in different workplaces;ergonomist
prepare the ground;garden labourer
prepare the ground;groundsman/groundswoman
prepare the ground;landscape gardener
cut keys;locksmith
support social service users to manage their financial affairs;family social worker
support social service users to manage their financial affairs;employment support worker
support social service users to manage their financial affairs;family support worker
support social service users to manage their financial affairs;consultant social worker
support social service users to manage their financial affairs;benefits advice worker
document management;medical records clerk
document management;business administration vocational teacher
document management;defence administration officer
document management;clinical coder
document management;medical records manager
visit manufacturers;garage manager
visit manufacturers;merchandiser
design natural gas processing systems;gas production engineer
design natural gas processing systems;liquid fuel engineer
public auction procedures;court enforcement officer
work in cold environments;food safety inspector
work in cold environments;meat cutter
work in cold environments;kosher butcher
work in cold environments;halal butcher
work in cold environments;butcher
manufacture wearing apparel products;embroiderer
manufacture wearing apparel products;dressmaker
manufacture wearing apparel products;wearing apparel patternmaker
manufacture wearing apparel products;clothing technologist
manufacture wearing apparel products;embroidery machine operator
